raw_text,aspectTerms
But the staff was so horrible to us .,"[{'term':'staff', 'polarity':'negative'}]"
"To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .","[{'term':'food', 'polarity':'positive'}]"
"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .","[{'term':'food', 'polarity':'positive'}]"
"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .","[{'term':'kitchen', 'polarity':'positive'}]"
"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .","[{'term':'menu', 'polarity':'none'}]"
"Not only was the food outstanding , but the little ` perks ' were great .","[{'term':'food', 'polarity':'positive'}]"
"Not only was the food outstanding , but the little ' perks ' were great .","[{'term':'perks', 'polarity':'positive'}]"
Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,"[{'term':'orrechiete with sausage and chicken', 'polarity':'positive'}]"
Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,"[{'term':'waiters', 'polarity':'positive'}]"
Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,"[{'term':'meats', 'polarity':'none'}]"
Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,"[{'term':'dish', 'polarity':'none'}]"
"The Bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .","[{'term':'Bagels', 'polarity':'positive'}]"
Nevertheless the food itself is pretty good .,"[{'term':'food', 'polarity':'positive'}]"
"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","[{'term':'toast', 'polarity':'negative'}]"
"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","[{'term':'mayonnaise', 'polarity':'negative'}]"
"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","[{'term':'bacon', 'polarity':'negative'}]"
"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","[{'term':'cheese', 'polarity':'none'}]"
"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","[{'term':'ingredients', 'polarity':'negative'}]"
"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","[{'term':'plate', 'polarity':'none'}]"
"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","[{'term':'omelet', 'polarity':'none'}]"
"It took half an hour to get our check , which was perfect since we could sit , have drinks and talk !","[{'term':'drinks', 'polarity':'none'}]"
"It took half an hour to get our check , which was perfect since we could sit , have drinks and talk !","[{'term':'check', 'polarity':'none'}]"
The design and atmosphere is just as good .,"[{'term':'design', 'polarity':'positive'}]"
The design and atmosphere is just as good .,"[{'term':'atmosphere', 'polarity':'positive'}]"
He has visited Thailand and is quite expert on the cuisine .,"[{'term':'cuisine', 'polarity':'positive'}]"
